Discriminant ? Level ? w_m ? Genus ? Elliptic Point Counts
6 ? 1 ? 1 ? 0 ? [ 2, 2 ],[ 3, 2 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 1 ? 2 ? 0 ? <2, 0>,<3, 1>,<4, 2>,<6, 0> 
6 ? 1 ? 3 ? 0 ? <2, 1>,<3, 0>,<4, 0>,<6, 2> 
6 ? 1 ? 6 ? 0 ? <2, 3>,<3, 2>,<4, 0>,<6, 0> 
6 ? 5 ? 1 ? 1 ? [ 2, 4 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 5 ? 2 ? 0 ? <2, 0>,<3, 0>,<4, 4>,<6, 0> 
6 ? 5 ? 3 ? 1 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 5 ? 5 ? 1 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 5 ? 6 ? 0 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
6 ? 5 ? 10 ? 0 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
6 ? 5 ? 15 ? 1 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 5 ? 30 ? 0 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
6 ? 7 ? 1 ? 1 ? [ 2, 0 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 7 ? 2 ? 1 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
6 ? 7 ? 3 ? 0 ? <2, 0>,<3, 0>,<4, 0>,<6, 4> 
6 ? 7 ? 6 ? 0 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
6 ? 7 ? 7 ? 1 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
6 ? 7 ? 14 ? 1 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
6 ? 7 ? 21 ? 0 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
6 ? 7 ? 42 ? 0 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
6 ? 11 ? 1 ? 3 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 11 ? 2 ? 2 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 11 ? 3 ? 2 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 11 ? 6 ? 1 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
6 ? 11 ? 11 ? 2 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 11 ? 22 ? 1 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
6 ? 11 ? 33 ? 1 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
6 ? 11 ? 66 ? 0 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
6 ? 13 ? 1 ? 1 ? [ 2, 4 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 13 ? 2 ? 0 ? <2, 0>,<3, 2>,<4, 4>,<6, 0> 
6 ? 13 ? 3 ? 0 ? <2, 2>,<3, 0>,<4, 0>,<6, 4> 
6 ? 13 ? 6 ? 1 ? <2, 2>,<3, 4>,<4, 0>,<6, 0> 
6 ? 13 ? 13 ? 0 ? <2, 6>,<3, 4>,<4, 0>,<6, 0> 
6 ? 13 ? 26 ? 1 ? <2, 2>,<3, 4>,<4, 0>,<6, 0> 
6 ? 13 ? 39 ? 1 ? <2, 2>,<3, 2>,<4, 0>,<6, 0> 
6 ? 13 ? 78 ? 0 ? <2, 6>,<3, 4>,<4, 0>,<6, 0> 
6 ? 17 ? 1 ? 3 ? [ 2, 4 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 17 ? 2 ? 1 ? <2, 0>,<3, 0>,<4, 4>,<6, 0> 
6 ? 17 ? 3 ? 2 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 17 ? 6 ? 2 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 17 ? 17 ? 2 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 17 ? 34 ? 0 ? <2, 10>,<3, 0>,<4, 0>,<6, 0> 
6 ? 17 ? 51 ? 1 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
6 ? 17 ? 102 ? 1 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
6 ? 19 ? 1 ? 3 ? [ 2, 0 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 19 ? 2 ? 2 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
6 ? 19 ? 3 ? 1 ? <2, 0>,<3, 0>,<4, 0>,<6, 4> 
6 ? 19 ? 6 ? 2 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
6 ? 19 ? 19 ? 1 ? <2, 4>,<3, 2>,<4, 0>,<6, 0> 
6 ? 19 ? 38 ? 2 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
6 ? 19 ? 57 ? 1 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
6 ? 19 ? 114 ? 0 ? <2, 8>,<3, 4>,<4, 0>,<6, 0> 
6 ? 23 ? 1 ? 5 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 23 ? 2 ? 3 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 23 ? 3 ? 3 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 23 ? 6 ? 3 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 23 ? 23 ? 3 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 23 ? 46 ? 1 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
6 ? 23 ? 69 ? 1 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
6 ? 23 ? 138 ? 1 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
6 ? 29 ? 1 ? 5 ? [ 2, 4 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 29 ? 2 ? 2 ? <2, 0>,<3, 0>,<4, 4>,<6, 0> 
6 ? 29 ? 3 ? 3 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 29 ? 6 ? 2 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
6 ? 29 ? 29 ? 3 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 29 ? 58 ? 2 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
6 ? 29 ? 87 ? 3 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 29 ? 174 ? 0 ? <2, 14>,<3, 0>,<4, 0>,<6, 0> 
6 ? 31 ? 1 ? 5 ? [ 2, 0 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 31 ? 2 ? 3 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
6 ? 31 ? 3 ? 2 ? <2, 0>,<3, 0>,<4, 0>,<6, 4> 
6 ? 31 ? 6 ? 2 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
6 ? 31 ? 31 ? 3 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
